project_id,winning_date,winning_notice_url,order_id,winning_order_cnt,project_winning_amt,supplier_name,supplier_addr,order_name,winning_amt,cadidate_name,buyer_name,buyer_addr,buyer_contact,buyer_phone,agency_name,agency_addr,agency_contact,agency_phone,source_id,keyword
11011522210200000100-XM001,2022-02-17,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220217_1406735.html,1,1,159.381975万元（人民币）,国涛建业(北京)建设工程有限公司,北京市大兴区黄村镇兴丰大街62号2层201,2022年榆垡镇农民技能培训中心、拆迁村群众服务中心消防中控系统维保服务项目_,159.381975万元,,北京市大兴区榆垡镇人民政府,北京市大兴区榆垡镇,张育林,89213304,北京筑营工程造价咨询有限公司,北京市大兴区黄村镇丽园路9号楼504室,王工,010-59486975,1,中控
11011622210200001174-XM001,2022-08-12,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220812_1448323.html,1,1,111.0566万元（人民币）,北京高彩启航教育咨询有限公司,北京市怀柔区迎宾北路10号1幢三层306室,通用技术及创客教室建设,111.0566万元,,北京市怀柔区第二中学,北京市怀柔区湖光南街6号,彭光才,69647373,北京闾成工程管理有限公司,北京市怀柔区潘家园176号,杨凯瑄,010-61628884,1,创客教室
11011322210200001474-XM001,2022-07-25,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220725_1444227.html,1,1,113.56万元（人民币）,京盾保安服务有限公司,北京市顺义区牛栏山镇牛汇街6号,新院基础运营费-消防中控室服务人员项目,113.56万元,,北京市顺义区中医医院,北京市顺义区站前东街5号,侯强,010-89413406,北京中兴恒达招标有限公司,北京市朝阳区裕民路12号元辰鑫大厦E1座424室,周连妹、鲁先礼,010-82250125,1,中控
11011322210200001580-XM001,2022-07-04,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220704_1439333.html,1,1,289.0932万元（人民币）,北京赢科天地电子有限公司,北京市海淀区上地信息产业基地开拓路1号6层6044,顺义区教育系统保开学专用教室设备采购项目,289.0932万元,,北京市顺义区教育资产管理服务中心,北京市顺义区仁和镇庄头村北,张蒙,010-69444342,北京博睿丰工程咨询有限公司,北京市顺义区林河南大街9号院9号楼2层262室,金文玲、赵毛鹅,010-61409078、15901197630,1,专用教室
11011322210200001580-XM001,2022-06-14,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220614_1433778.html,1,1,303.9099万元（人民币）,北京东方中科达科技有限公司,北京市大兴区欣雅街16号院7号楼9层903室,顺义区教育系统保开学专用教室设备采购项目,303.9099万元,,北京市顺义区教育资产管理服务中心,北京市顺义区仁和镇庄头村北,张蒙,010-69444342,北京博睿丰工程咨询有限公司,北京市顺义区林河南大街9号院9号楼2层262室,金文玲、赵毛鹅,010-61409078、15901197630,1,专用教室
11011322210200001580-XM001,2022-06-14,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220614_1433780.html,1,1,39.866万元（人民币）,北京书中书科技有限公司,北京市平谷区平谷镇平翔路10号01室,顺义区教育系统保开学专用教室设备采购项目,39.866万元,,北京市顺义区教育资产管理服务中心,北京市顺义区仁和镇庄头村北,张蒙,010-69444342,北京博睿丰工程咨询有限公司,北京市顺义区林河南大街9号院9号楼2层262室,金文玲、赵毛鹅,010-61409078、15901197630,1,专用教室
11011322210200001580-XM001,2022-07-04,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220704_1439337.html,1,1,288.13114万元（人民币）,北京华之峰智能技术有限公司,北京市顺义区赵全营镇兆丰产业基地东盈路19号,顺义区教育系统保开学专用教室设备采购项目,288.13114万元,,北京市顺义区教育资产管理服务中心,北京市顺义区仁和镇庄头村北,张蒙,010-69444342,北京博睿丰工程咨询有限公司,北京市顺义区林河南大街9号院9号楼2层262室,金文玲、赵毛鹅,010-61409078、15901197630,1,专用教室
11011122210200004134-XM001,2022-12-06,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20221206_1472575.html,"1,2",2,1665.38万元（人民币）,"北京慧仁育达科技有限责任公司,北京六度方圆科技有限公司","北京市房山区辰光东路16号院14号楼1至2层106,北京市石景山区实兴大街30号院8号楼11层1216",首都师范大学附属中学实验学校教育教学专用教室及实验室建设预算项目,"752万元中标成交,913.38万元",,首都师范大学附属中学实验学校,北京市房山区长阳镇长兴街2号院,翟文良,010-69374832,慧诚（北京）招投标代理有限公司,北京市房山区西潞街道金光南街2号北楼418,张惠茹,010-69369063,1,专用教室
11011322210200001580-XM001,2022-06-14,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220614_1433777.html,1,1,302.659万元（人民币）,北京华育新创科教设备有限公司,北京市大兴区新源大街25号院6号楼8至9层812,顺义区教育系统保开学专用教室设备采购项目,302.659万元,,北京市顺义区教育资产管理服务中心,北京市顺义区仁和镇庄头村北,张蒙,010-69444342,北京博睿丰工程咨询有限公司,北京市顺义区林河南大街9号院9号楼2层262室,金文玲、赵毛鹅,010-61409078、15901197630,1,专用教室
11011322210200001580-XM001,2022-06-14,http://www.ccgp-beijing.gov.cn/xxgg/qjzfcggg/qjzbjggg/t20220614_1433779.html,1,1,82.4004万元（人民币）,北京世纪京洲家具有限责任公司,北京市大兴区安定镇安定北街北京安定京安园林绿化有限公司内二层230室,顺义区教育系统保开学专用教室设备采购项目,82.4004万元,,北京市顺义区教育资产管理服务中心,北京市顺义区仁和镇庄头村北,张蒙,010-69444342,北京博睿丰工程咨询有限公司,北京市顺义区林河南大街9号院9号楼2层262室,金文玲、赵毛鹅,010-61409078、15901197630,1,专用教室
